# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=406.25, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5902,SUCCESS,163.7921,-77,DISPLAY,0,0
2,6588,SUCCESS,162.4399,-79,DISPLAY,0,0
3,7274,SUCCESS,161.5385,-78,DISPLAY,0,0
4,7959,SUCCESS,163.7921,-80,DISPLAY,0,0
5,8645,SUCCESS,163.6118,-79,DISPLAY,0,0
6,9331,SUCCESS,163.8822,-80,DISPLAY,0,0
7,10017,SUCCESS,162.4399,-80,DISPLAY,0,0
8,10703,SUCCESS,162.2596,-79,DISPLAY,0,0
9,11390,SUCCESS,164.9639,-79,DISPLAY,0,0
10,12076,SUCCESS,159.4651,-80,DISPLAY,0,0
11,12766,SUCCESS,165.7752,-78,DISPLAY,0,0
12,13452,SUCCESS,166.1358,-78,DISPLAY,0,0
13,14138,SUCCESS,162.9808,-80,DISPLAY,0,0
14,14824,SUCCESS,165.3245,-80,DISPLAY,0,0
15,15511,SUCCESS,163.9724,-80,DISPLAY,0,0
16,16197,SUCCESS,162.8906,-80,DISPLAY,0,0
17,16883,SUCCESS,165.7752,-81,DISPLAY,0,0
18,17569,SUCCESS,162.3497,-80,DISPLAY,0,0
19,18255,SUCCESS,163.8822,-78,DISPLAY,0,0
20,18941,SUCCESS,160.9976,-79,DISPLAY,0,0
