# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=406.25, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5904,SUCCESS,284.5853,-89,DISPLAY,0,0
2,6590,SUCCESS,279.7175,-88,DISPLAY,0,0
3,7275,SUCCESS,281.9711,-88,DISPLAY,0,0
4,7961,SUCCESS,279.5372,-89,DISPLAY,0,0
5,8647,SUCCESS,283.5937,-87,DISPLAY,0,0
6,9333,SUCCESS,285.7572,-87,DISPLAY,0,0
7,10020,SUCCESS,288.2812,-87,DISPLAY,0,0
8,10706,SUCCESS,284.1346,-87,DISPLAY,0,0
9,11392,SUCCESS,287.1995,-87,DISPLAY,0,0
10,12078,SUCCESS,284.7656,-90,DISPLAY,0,0
11,12769,SUCCESS,282.6923,-89,DISPLAY,0,0
12,13455,SUCCESS,287.6502,-89,DISPLAY,0,0
13,14141,SUCCESS,289.9940,-88,DISPLAY,0,0
14,14827,SUCCESS,285.3065,-88,DISPLAY,0,0
15,15513,SUCCESS,284.3149,-90,DISPLAY,0,0
16,16199,SUCCESS,285.8473,-90,DISPLAY,0,0
17,16885,SUCCESS,288.2812,-90,DISPLAY,0,0
18,17571,SUCCESS,289.3629,-89,DISPLAY,0,0
19,18257,SUCCESS,293.0589,-90,DISPLAY,0,0
20,18943,SUCCESS,289.2728,-89,DISPLAY,0,0
21,19633,SUCCESS,289.4531,-88,DISPLAY,0,0
22,20319,SUCCESS,292.8786,-88,DISPLAY,0,0
23,21005,SUCCESS,289.5432,-90,DISPLAY,0,0
24,21691,SUCCESS,289.8137,-90,DISPLAY,0,0
25,22377,SUCCESS,285.0360,-90,DISPLAY,0,0
26,23062,SUCCESS,288.8221,-89,DISPLAY,0,0
27,23749,SUCCESS,290.8954,-88,DISPLAY,0,0
