# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=406.25, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5904,SUCCESS,219.2308,-88,DISPLAY,0,0
2,6590,SUCCESS,220.9435,-88,DISPLAY,0,0
3,7276,SUCCESS,227.6142,-88,DISPLAY,0,0
4,7962,SUCCESS,220.7632,-87,DISPLAY,0,0
5,8648,SUCCESS,215.1743,-88,DISPLAY,0,0
6,9334,SUCCESS,210.3065,-90,DISPLAY,0,0
7,10020,SUCCESS,212.8305,-87,DISPLAY,0,0
8,10706,SUCCESS,212.5601,-88,DISPLAY,0,0
9,11392,SUCCESS,217.6983,-87,DISPLAY,0,0
10,12078,SUCCESS,215.1743,-86,DISPLAY,0,0
11,12768,SUCCESS,209.0444,-88,DISPLAY,0,0
12,13454,SUCCESS,217.2476,-87,DISPLAY,0,0
13,14140,SUCCESS,217.6983,-86,DISPLAY,0,0
14,14826,SUCCESS,213.1911,-86,DISPLAY,0,0
15,15512,SUCCESS,217.3377,-87,DISPLAY,0,0
16,16198,SUCCESS,215.7151,-88,DISPLAY,0,0
17,16884,SUCCESS,211.0276,-88,DISPLAY,0,0
18,17571,SUCCESS,214.6334,-87,DISPLAY,0,0
19,18257,SUCCESS,209.4952,-87,DISPLAY,0,0
20,18943,SUCCESS,211.6586,-87,DISPLAY,0,0
21,19633,SUCCESS,208.7740,-87,DISPLAY,0,0
22,20319,SUCCESS,211.6586,-87,DISPLAY,0,0
23,21005,SUCCESS,204.9880,-90,DISPLAY,0,0
24,21691,SUCCESS,206.5204,-89,DISPLAY,0,0
25,22377,SUCCESS,207.3317,-90,DISPLAY,0,0
26,23064,SUCCESS,205.4387,-89,DISPLAY,0,0
27,23750,SUCCESS,208.6839,-88,DISPLAY,0,0
28,24436,SUCCESS,210.4868,-88,DISPLAY,0,0
29,25122,SUCCESS,214.9038,-87,DISPLAY,0,0
30,25808,SUCCESS,207.6923,-89,DISPLAY,0,0
31,26499,SUCCESS,205.4387,-90,DISPLAY,0,0
32,27185,SUCCESS,210.1262,-87,DISPLAY,0,0
33,27871,SUCCESS,214.8137,-86,DISPLAY,0,0
34,28557,SUCCESS,214.0024,-87,DISPLAY,0,0
35,29243,SUCCESS,211.0276,-87,DISPLAY,0,0
36,29930,SUCCESS,208.5036,-87,DISPLAY,0,0
37,30615,SUCCESS,201.3822,-89,DISPLAY,0,0
38,31301,SUCCESS,198.7680,-89,DISPLAY,0,0
39,31988,SUCCESS,196.0637,-89,DISPLAY,0,0
40,32674,SUCCESS,202.4639,-88,DISPLAY,0,0
41,33364,SUCCESS,207.0613,-87,DISPLAY,0,0
42,34050,SUCCESS,212.8305,-87,DISPLAY,0,0
43,34736,SUCCESS,211.0276,-88,DISPLAY,0,0
44,35421,SUCCESS,213.5517,-88,DISPLAY,0,0
45,36107,SUCCESS,207.5120,-87,DISPLAY,0,0
46,36793,SUCCESS,209.7656,-88,DISPLAY,0,0
47,37479,SUCCESS,210.6671,-87,DISPLAY,0,0
48,38165,SUCCESS,206.6106,-88,DISPLAY,0,0
49,38851,SUCCESS,201.5625,-88,DISPLAY,0,0
50,39537,SUCCESS,204.5372,-88,DISPLAY,0,0
51,40228,SUCCESS,200.6610,-88,DISPLAY,0,0
52,40914,SUCCESS,202.4639,-88,DISPLAY,0,0
53,41600,SUCCESS,203.0048,-87,DISPLAY,0,0
54,42286,SUCCESS,202.7344,-87,DISPLAY,0,0
55,42972,SUCCESS,204.5372,-87,DISPLAY,0,0
56,43657,SUCCESS,204.9880,-87,DISPLAY,0,0
57,44343,SUCCESS,190.8353,-89,DISPLAY,0,0
58,45029,SUCCESS,206.2500,-88,DISPLAY,0,0
59,45715,SUCCESS,200.6610,-89,DISPLAY,0,0
60,46401,SUCCESS,209.5853,-86,DISPLAY,0,0
61,47092,SUCCESS,207.3317,-87,DISPLAY,0,0
62,47778,SUCCESS,210.3065,-87,DISPLAY,0,0
63,48464,SUCCESS,201.8329,-88,DISPLAY,0,0
64,49150,SUCCESS,193.4495,-89,DISPLAY,0,0
65,49836,SUCCESS,204.8077,-87,DISPLAY,0,0
66,50521,SUCCESS,201.3822,-88,DISPLAY,0,0
67,51207,SUCCESS,191.1058,-89,DISPLAY,0,0
68,51893,SUCCESS,205.3485,-88,DISPLAY,0,0
69,52579,SUCCESS,203.9062,-88,DISPLAY,0,0
70,53265,SUCCESS,196.6947,-89,DISPLAY,0,0
71,53955,SUCCESS,194.4411,-88,DISPLAY,0,0
72,54641,SUCCESS,201.6526,-88,DISPLAY,0,0
73,55327,SUCCESS,205.2584,-87,DISPLAY,0,0
74,56013,SUCCESS,212.2896,-86,DISPLAY,0,0
75,56698,SUCCESS,209.0444,-86,DISPLAY,0,0
76,57384,SUCCESS,209.5853,-87,DISPLAY,0,0
77,58069,SUCCESS,205.8894,-87,DISPLAY,0,0
78,58755,SUCCESS,206.7908,-87,DISPLAY,0,0
79,59440,SUCCESS,207.6923,-88,DISPLAY,0,0
80,60126,SUCCESS,196.8750,-88,DISPLAY,0,0
81,60817,SUCCESS,203.2752,-86,DISPLAY,0,0
82,61503,SUCCESS,197.9567,-87,DISPLAY,0,0
83,62188,SUCCESS,195.0721,-87,DISPLAY,0,0
84,62874,SUCCESS,204.9880,-86,DISPLAY,0,0
85,63560,SUCCESS,205.5288,-87,DISPLAY,0,0
86,64246,SUCCESS,205.3485,-87,DISPLAY,0,0
87,64931,SUCCESS,206.0697,-87,DISPLAY,0,0
88,65617,SUCCESS,205.4387,-87,DISPLAY,0,0
