# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5901,SUCCESS,148.7154,-80,DISPLAY,0,0
2,6557,SUCCESS,150.3155,-80,DISPLAY,0,0
3,7212,SUCCESS,148.1746,-80,DISPLAY,0,0
4,7867,SUCCESS,145.8083,-81,DISPLAY,0,0
5,8523,SUCCESS,147.1604,-81,DISPLAY,0,0
6,9179,SUCCESS,148.8732,-80,DISPLAY,0,0
7,9834,SUCCESS,149.5718,-82,DISPLAY,0,0
8,10490,SUCCESS,150.2704,-78,DISPLAY,0,0
9,11145,SUCCESS,147.5210,-80,DISPLAY,0,0
10,11801,SUCCESS,147.5436,-80,DISPLAY,0,0
11,12461,SUCCESS,148.0619,-80,DISPLAY,0,0
12,13117,SUCCESS,147.7915,-80,DISPLAY,0,0
13,13772,SUCCESS,149.7521,-80,DISPLAY,0,0
14,14428,SUCCESS,149.5718,-80,DISPLAY,0,0
15,15084,SUCCESS,149.2563,-79,DISPLAY,0,0
16,15739,SUCCESS,147.5210,-81,DISPLAY,0,0
17,16395,SUCCESS,147.3633,-81,DISPLAY,0,0
18,17051,SUCCESS,148.3549,-80,DISPLAY,0,0
19,17707,SUCCESS,148.1295,-81,DISPLAY,0,0
20,18362,SUCCESS,147.7013,-80,DISPLAY,0,0
21,19023,SUCCESS,149.7296,-80,DISPLAY,0,0
22,19679,SUCCESS,147.0027,-81,DISPLAY,0,0
23,20335,SUCCESS,150.0676,-80,DISPLAY,0,0
24,20990,SUCCESS,147.3407,-80,DISPLAY,0,0
25,21646,SUCCESS,146.6421,-82,DISPLAY,0,0
26,22302,SUCCESS,146.4618,-82,DISPLAY,0,0
27,22958,SUCCESS,144.7716,-81,DISPLAY,0,0
28,23613,SUCCESS,147.5886,-81,DISPLAY,0,0
29,24269,SUCCESS,147.5661,-80,DISPLAY,0,0
30,24925,SUCCESS,149.7972,-80,DISPLAY,0,0
31,25585,SUCCESS,147.9267,-81,DISPLAY,0,0
32,26241,SUCCESS,146.3717,-80,DISPLAY,0,0
33,26897,SUCCESS,148.0619,-80,DISPLAY,0,0
34,27552,SUCCESS,147.6337,-80,DISPLAY,0,0
35,28208,SUCCESS,147.4309,-80,DISPLAY,0,0
36,28864,SUCCESS,147.7689,-80,DISPLAY,0,0
37,29519,SUCCESS,147.6337,-80,DISPLAY,0,0
38,30175,SUCCESS,146.8224,-79,DISPLAY,0,0
39,30831,SUCCESS,147.1154,-79,DISPLAY,0,0
40,31486,SUCCESS,148.9633,-79,DISPLAY,0,0
41,32147,SUCCESS,147.8365,-79,DISPLAY,0,0
42,32802,SUCCESS,146.7548,-81,DISPLAY,0,0
43,33458,SUCCESS,149.0309,-80,DISPLAY,0,0
44,34114,SUCCESS,147.7464,-81,DISPLAY,0,0
45,34769,SUCCESS,147.2957,-80,DISPLAY,0,0
46,35425,SUCCESS,147.4534,-80,DISPLAY,0,0
47,36081,SUCCESS,148.1746,-80,DISPLAY,0,0
48,36736,SUCCESS,147.8365,-81,DISPLAY,0,0
49,37392,SUCCESS,147.0252,-81,DISPLAY,0,0
50,38047,SUCCESS,148.0168,-80,DISPLAY,0,0
51,38708,SUCCESS,146.3492,-80,DISPLAY,0,0
52,39364,SUCCESS,147.1379,-79,DISPLAY,0,0
53,40019,SUCCESS,148.5577,-79,DISPLAY,0,0
54,40675,SUCCESS,146.1914,-84,DISPLAY,0,0
55,41331,SUCCESS,147.6337,-87,DISPLAY,0,0
56,41986,SUCCESS,148.2196,-79,DISPLAY,0,0
57,42641,SUCCESS,147.3182,-80,DISPLAY,0,0
58,43297,SUCCESS,144.4561,-81,DISPLAY,0,0
59,43952,SUCCESS,146.0336,-80,DISPLAY,0,0
60,44607,SUCCESS,145.8984,-80,DISPLAY,0,0
61,45268,SUCCESS,148.1971,-79,DISPLAY,0,0
62,45923,SUCCESS,146.1238,-80,DISPLAY,0,0
63,46579,SUCCESS,145.6731,-80,DISPLAY,0,0
64,47234,SUCCESS,145.9435,-80,DISPLAY,0,0
65,47890,SUCCESS,147.2055,-79,DISPLAY,0,0
66,48546,SUCCESS,146.7773,-79,DISPLAY,0,0
67,49201,SUCCESS,146.3041,-80,DISPLAY,0,0
68,49857,SUCCESS,147.6337,-79,DISPLAY,0,0
69,50513,SUCCESS,146.6196,-80,DISPLAY,0,0
70,51168,SUCCESS,145.3576,-80,DISPLAY,0,0
71,51829,SUCCESS,146.5520,-80,DISPLAY,0,0
72,52484,SUCCESS,147.2281,-79,DISPLAY,0,0
73,53140,SUCCESS,145.9886,-79,DISPLAY,0,0
74,53796,SUCCESS,147.1830,-78,DISPLAY,0,0
75,54451,SUCCESS,146.6196,-79,DISPLAY,0,0
76,55107,SUCCESS,147.4309,-78,DISPLAY,0,0
77,55762,SUCCESS,148.3323,-78,DISPLAY,0,0
78,56418,SUCCESS,150.0000,-79,DISPLAY,0,0
79,57074,SUCCESS,149.4591,-78,DISPLAY,0,0
80,57729,SUCCESS,148.0844,-79,DISPLAY,0,0
81,58390,SUCCESS,147.2281,-80,DISPLAY,0,0
82,59046,SUCCESS,146.5069,-79,DISPLAY,0,0
83,59701,SUCCESS,148.0844,-79,DISPLAY,0,0
84,60357,SUCCESS,147.6337,-81,DISPLAY,0,0
85,61012,SUCCESS,146.1463,-80,DISPLAY,0,0
86,61668,SUCCESS,147.0478,-80,DISPLAY,0,0
87,62323,SUCCESS,147.4760,-80,DISPLAY,0,0
88,62979,SUCCESS,147.7915,-81,DISPLAY,0,0
89,63635,SUCCESS,147.0703,-80,DISPLAY,0,0
90,64290,SUCCESS,148.4675,-80,DISPLAY,0,0
91,64951,SUCCESS,147.0027,-79,DISPLAY,0,0
92,65607,SUCCESS,148.1971,-79,DISPLAY,0,0
93,66262,SUCCESS,148.0168,-79,DISPLAY,0,0
94,66918,SUCCESS,149.0309,-79,DISPLAY,0,0
95,67573,SUCCESS,148.1295,-79,DISPLAY,0,0
96,68229,SUCCESS,147.1154,-80,DISPLAY,0,0
97,68885,SUCCESS,146.9802,-80,DISPLAY,0,0
98,69540,SUCCESS,146.4844,-80,DISPLAY,0,0
99,70195,SUCCESS,148.1971,-79,DISPLAY,0,0
100,70851,SUCCESS,148.7380,-80,DISPLAY,0,0
101,71511,SUCCESS,147.2506,-80,DISPLAY,0,0
102,72166,SUCCESS,148.7154,-79,DISPLAY,0,0
103,72822,SUCCESS,147.3633,-80,DISPLAY,0,0
104,73477,SUCCESS,148.1746,-81,DISPLAY,0,0
105,74132,SUCCESS,147.1604,-80,DISPLAY,0,0
106,74787,SUCCESS,146.6647,-80,DISPLAY,0,0
107,75443,SUCCESS,146.0562,-80,DISPLAY,0,0
108,76098,SUCCESS,146.8675,-80,DISPLAY,0,0
109,76753,SUCCESS,147.2506,-79,DISPLAY,0,0
110,77409,SUCCESS,146.3041,-80,DISPLAY,0,0
