# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5905,SUCCESS,290.6926,-95,DISPLAY,0,0
2,6561,SUCCESS,297.4083,-90,DISPLAY,0,0
3,7216,SUCCESS,294.8618,-91,DISPLAY,0,0
4,7872,SUCCESS,298.5351,-92,DISPLAY,0,0
5,8527,SUCCESS,295.6731,-93,DISPLAY,0,0
6,9183,SUCCESS,292.7885,-95,DISPLAY,0,0
7,9838,SUCCESS,298.0619,-93,DISPLAY,0,0
8,10494,SUCCESS,294.1181,-92,DISPLAY,0,0
9,11150,SUCCESS,302.7494,-94,DISPLAY,0,0
10,11805,SUCCESS,304.7776,-91,DISPLAY,0,0
11,12466,SUCCESS,305.8143,-95,DISPLAY,0,0
12,13122,SUCCESS,307.1214,-93,DISPLAY,0,0
13,13778,SUCCESS,305.2960,-91,DISPLAY,0,0
14,14433,SUCCESS,307.5496,-91,DISPLAY,0,0
15,15089,SUCCESS,304.9128,-91,DISPLAY,0,0
16,15745,SUCCESS,304.4621,-92,DISPLAY,0,0
17,16401,SUCCESS,307.5270,-94,DISPLAY,0,0
18,17057,SUCCESS,298.3549,-91,DISPLAY,0,0
19,17712,SUCCESS,298.7830,-91,DISPLAY,0,0
20,18368,SUCCESS,299.2338,-92,DISPLAY,0,0
21,19028,SUCCESS,296.7999,-90,DISPLAY,0,0
22,19684,SUCCESS,297.6111,-91,DISPLAY,0,0
23,20340,SUCCESS,294.2533,-90,DISPLAY,0,0
24,20995,SUCCESS,299.6845,-89,DISPLAY,0,0
25,21651,SUCCESS,300.3831,-90,DISPLAY,0,0
26,22307,SUCCESS,300.2704,-90,DISPLAY,0,0
27,22962,SUCCESS,298.7154,-92,DISPLAY,0,0
28,23618,SUCCESS,300.3606,-90,DISPLAY,0,0
29,24274,SUCCESS,300.0901,-89,DISPLAY,0,0
30,24929,SUCCESS,300.6310,-91,DISPLAY,0,0
31,25590,SUCCESS,299.9098,-91,DISPLAY,0,0
32,26246,SUCCESS,300.7887,-91,DISPLAY,0,0
33,26902,SUCCESS,299.2563,-91,DISPLAY,0,0
34,27557,SUCCESS,299.7296,-90,DISPLAY,0,0
35,28213,SUCCESS,298.4901,-91,DISPLAY,0,0
36,28869,SUCCESS,300.9240,-89,DISPLAY,0,0
37,29524,SUCCESS,302.1409,-91,DISPLAY,0,0
38,30180,SUCCESS,298.6703,-90,DISPLAY,0,0
39,30836,SUCCESS,299.3690,-91,DISPLAY,0,0
40,31491,SUCCESS,300.8338,-91,DISPLAY,0,0
41,32152,SUCCESS,297.8365,-90,DISPLAY,0,0
42,32807,SUCCESS,298.4675,-90,DISPLAY,0,0
43,33463,SUCCESS,298.3098,-91,DISPLAY,0,0
44,34118,SUCCESS,297.9492,-91,DISPLAY,0,0
45,34774,SUCCESS,301.0367,-90,DISPLAY,0,0
46,35429,SUCCESS,301.2169,-90,DISPLAY,0,0
47,36085,SUCCESS,300.0450,-89,DISPLAY,0,0
48,36740,SUCCESS,299.7070,-92,DISPLAY,0,0
