# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5902,SUCCESS,182.0012,-81,DISPLAY,0,0
2,6558,SUCCESS,182.7674,-82,DISPLAY,0,0
3,7213,SUCCESS,182.8125,-83,DISPLAY,0,0
4,7869,SUCCESS,181.4603,-81,DISPLAY,0,0
5,8525,SUCCESS,181.8660,-81,DISPLAY,0,0
6,9180,SUCCESS,182.1589,-82,DISPLAY,0,0
7,9836,SUCCESS,180.5363,-83,DISPLAY,0,0
8,10491,SUCCESS,183.1956,-81,DISPLAY,0,0
9,11147,SUCCESS,180.7842,-82,DISPLAY,0,0
10,11802,SUCCESS,183.1956,-82,DISPLAY,0,0
11,12463,SUCCESS,182.4519,-82,DISPLAY,0,0
12,13118,SUCCESS,180.9871,-83,DISPLAY,0,0
13,13774,SUCCESS,181.6857,-83,DISPLAY,0,0
14,14430,SUCCESS,181.1223,-82,DISPLAY,0,0
15,15085,SUCCESS,180.7842,-83,DISPLAY,0,0
16,15741,SUCCESS,180.3786,-82,DISPLAY,0,0
17,16397,SUCCESS,182.5421,-82,DISPLAY,0,0
18,17052,SUCCESS,180.8969,-83,DISPLAY,0,0
19,17708,SUCCESS,180.1532,-84,DISPLAY,0,0
20,18364,SUCCESS,182.4294,-81,DISPLAY,0,0
21,19024,SUCCESS,182.5195,-81,DISPLAY,0,0
22,19680,SUCCESS,181.5955,-82,DISPLAY,0,0
23,20336,SUCCESS,181.0997,-82,DISPLAY,0,0
24,20991,SUCCESS,182.1815,-81,DISPLAY,0,0
25,21647,SUCCESS,179.7025,-83,DISPLAY,0,0
26,22303,SUCCESS,181.9336,-82,DISPLAY,0,0
27,22959,SUCCESS,181.4603,-82,DISPLAY,0,0
28,23615,SUCCESS,181.0997,-81,DISPLAY,0,0
29,24270,SUCCESS,181.6181,-82,DISPLAY,0,0
30,24926,SUCCESS,181.8885,-82,DISPLAY,0,0
31,25586,SUCCESS,181.9110,-82,DISPLAY,0,0
32,26242,SUCCESS,181.8434,-82,DISPLAY,0,0
33,26898,SUCCESS,182.0913,-83,DISPLAY,0,0
34,27553,SUCCESS,182.0688,-83,DISPLAY,0,0
