# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5901,TIMEOUT,NaN,0,RANGING,1,-901
2,16546,SUCCESS,275.5258,-95,DISPLAY,0,0
3,17201,SUCCESS,273.6103,-97,DISPLAY,0,0
4,17857,SUCCESS,274.8948,-98,DISPLAY,0,0
5,18512,SUCCESS,268.3819,-99,DISPLAY,0,0
6,19168,SUCCESS,255.4687,-88,DISPLAY,0,0
7,19823,SUCCESS,257.0237,-90,DISPLAY,0,0
8,20479,SUCCESS,274.4892,-87,DISPLAY,0,0
9,21135,SUCCESS,269.4636,-86,DISPLAY,0,0
10,21790,SUCCESS,252.3813,-88,DISPLAY,0,0
11,22451,SUCCESS,243.7951,-90,DISPLAY,0,0
12,23107,SUCCESS,249.9699,-91,DISPLAY,0,0
13,23762,SUCCESS,260.1562,-90,DISPLAY,0,0
14,24418,SUCCESS,256.9561,-90,DISPLAY,0,0
15,25074,SUCCESS,280.9119,-90,DISPLAY,0,0
16,25729,SUCCESS,263.7620,-90,DISPLAY,0,0
17,26385,SUCCESS,226.8029,-90,DISPLAY,0,0
18,27040,SUCCESS,228.9663,-90,DISPLAY,0,0
19,27696,SUCCESS,241.4964,-95,DISPLAY,0,0
20,28352,SUCCESS,394.9444,-93,DISPLAY,0,0
21,29012,SUCCESS,359.9233,-95,DISPLAY,0,0
22,29668,SUCCESS,332.8575,-94,DISPLAY,0,0
23,30323,SUCCESS,256.1674,-95,DISPLAY,0,0
24,30979,SUCCESS,300.5408,-92,DISPLAY,0,0
25,31635,SUCCESS,299.5267,-92,DISPLAY,0,0
26,32290,SUCCESS,330.8293,-92,DISPLAY,0,0
27,32946,SUCCESS,329.0039,-93,DISPLAY,0,0
28,33602,SUCCESS,323.3473,-93,DISPLAY,0,0
29,34257,SUCCESS,311.1328,-93,DISPLAY,0,0
30,34913,SUCCESS,321.4318,-93,DISPLAY,0,0
31,35574,SUCCESS,371.0562,-93,DISPLAY,0,0
32,36230,SUCCESS,399.1812,-96,DISPLAY,0,0
33,36885,SUCCESS,428.9513,-96,DISPLAY,0,0
34,37541,TIMEOUT,NaN,0,RANGING,1,-901
35,48186,SUCCESS,376.8254,-94,DISPLAY,0,0
36,48842,SUCCESS,454.3494,-100,DISPLAY,0,0
37,49497,SUCCESS,240.0991,-96,DISPLAY,0,0
38,50152,SUCCESS,265.9029,-96,DISPLAY,0,0
39,50808,SUCCESS,286.4333,-96,DISPLAY,0,0
40,51463,SUCCESS,303.4480,-93,DISPLAY,0,0
41,52124,SUCCESS,311.8089,-94,DISPLAY,0,0
42,52779,SUCCESS,313.3413,-92,DISPLAY,0,0
43,53434,SUCCESS,322.6713,-92,DISPLAY,0,0
44,54090,SUCCESS,269.0354,-96,DISPLAY,0,0
45,54745,SUCCESS,241.3837,-97,DISPLAY,0,0
46,55400,SUCCESS,288.1010,-96,DISPLAY,0,0
47,56055,SUCCESS,300.0901,-93,DISPLAY,0,0
48,56710,SUCCESS,323.2797,-94,DISPLAY,0,0
49,57366,SUCCESS,263.8296,-90,DISPLAY,0,0
50,58021,SUCCESS,278.9513,-88,DISPLAY,0,0
51,58682,SUCCESS,278.6358,-89,DISPLAY,0,0
52,59337,SUCCESS,285.4417,-94,DISPLAY,0,0
53,59993,SUCCESS,290.6475,-96,DISPLAY,0,0
54,60648,SUCCESS,297.7689,-95,DISPLAY,0,0
55,61304,SUCCESS,268.6749,-94,DISPLAY,0,0
56,61959,SUCCESS,237.9808,-93,DISPLAY,0,0
57,62614,SUCCESS,253.6208,-95,DISPLAY,0,0
58,63270,SUCCESS,270.3425,-93,DISPLAY,0,0
59,63925,SUCCESS,278.2301,-92,DISPLAY,0,0
60,64580,SUCCESS,260.5168,-93,DISPLAY,0,0
61,65241,SUCCESS,273.5652,-93,DISPLAY,0,0
62,65896,SUCCESS,272.6863,-92,DISPLAY,0,0
63,66551,SUCCESS,279.7851,-93,DISPLAY,0,0
64,67206,SUCCESS,275.1202,-94,DISPLAY,0,0
65,67861,SUCCESS,275.0751,-93,DISPLAY,0,0
66,68516,SUCCESS,297.2281,-93,DISPLAY,0,0
67,69171,SUCCESS,235.2314,-96,DISPLAY,0,0
68,69826,SUCCESS,313.4991,-92,DISPLAY,0,0
69,70481,SUCCESS,329.7250,-92,DISPLAY,0,0
70,71136,SUCCESS,310.6821,-98,DISPLAY,0,0
