# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5899,SUCCESS,110.5844,-84,DISPLAY,0,0
2,6554,SUCCESS,107.9702,-85,DISPLAY,0,0
3,7210,SUCCESS,107.5421,-84,DISPLAY,0,0
4,7865,SUCCESS,105.1758,-81,DISPLAY,0,0
5,8521,TIMEOUT,NaN,0,RANGING,1,-901
6,19166,SUCCESS,115.0916,-77,DISPLAY,0,0
7,19822,SUCCESS,107.0012,-76,DISPLAY,0,0
8,20477,SUCCESS,100.7362,-76,DISPLAY,0,0
9,21133,SUCCESS,97.8966,-76,DISPLAY,0,0
10,21788,SUCCESS,87.2371,-77,DISPLAY,0,0
11,22449,SUCCESS,39.1001,-89,DISPLAY,0,0
12,23105,SUCCESS,55.6190,-86,DISPLAY,0,0
13,23760,SUCCESS,25.3305,-89,DISPLAY,0,0
14,24416,SUCCESS,54.5147,-86,DISPLAY,0,0
15,25071,SUCCESS,70.9435,-86,DISPLAY,0,0
16,25727,SUCCESS,55.8669,-90,DISPLAY,0,0
17,26382,SUCCESS,81.3101,-89,DISPLAY,0,0
18,27038,SUCCESS,82.4369,-91,DISPLAY,0,0
19,27693,SUCCESS,28.0799,-91,DISPLAY,0,0
20,28349,SUCCESS,92.2626,-86,DISPLAY,0,0
21,29009,SUCCESS,77.4790,-86,DISPLAY,0,0
22,29664,SUCCESS,83.5412,-85,DISPLAY,0,0
23,30320,SUCCESS,89.6935,-86,DISPLAY,0,0
24,30975,SUCCESS,81.4904,-86,DISPLAY,0,0
25,31631,SUCCESS,79.8452,-86,DISPLAY,0,0
26,32286,SUCCESS,91.2260,-84,DISPLAY,0,0
27,32942,SUCCESS,85.8398,-83,DISPLAY,0,0
28,33597,SUCCESS,95.1022,-81,DISPLAY,0,0
29,34253,SUCCESS,97.7163,-77,DISPLAY,0,0
30,34908,SUCCESS,95.3501,-77,DISPLAY,0,0
31,35568,SUCCESS,95.4853,-75,DISPLAY,0,0
32,36224,SUCCESS,97.8966,-74,DISPLAY,0,0
33,36879,SUCCESS,96.7248,-79,DISPLAY,0,0
34,37535,SUCCESS,92.1499,-85,DISPLAY,0,0
35,38190,SUCCESS,86.6286,-78,DISPLAY,0,0
36,38846,SUCCESS,88.5442,-76,DISPLAY,0,0
37,39501,SUCCESS,91.7443,-76,DISPLAY,0,0
38,40157,SUCCESS,91.5865,-77,DISPLAY,0,0
39,40812,SUCCESS,90.7302,-77,DISPLAY,0,0
40,41468,SUCCESS,83.3158,-78,DISPLAY,0,0
41,42128,SUCCESS,94.4937,-80,DISPLAY,0,0
42,42783,SUCCESS,85.7497,-79,DISPLAY,0,0
43,43439,SUCCESS,91.9471,-77,DISPLAY,0,0
44,44094,SUCCESS,91.4288,-76,DISPLAY,0,0
45,44750,SUCCESS,96.5670,-75,DISPLAY,0,0
46,45405,SUCCESS,94.8993,-76,DISPLAY,0,0
47,46061,SUCCESS,99.6319,-76,DISPLAY,0,0
48,46716,SUCCESS,91.5865,-77,DISPLAY,0,0
49,47371,SUCCESS,89.5132,-76,DISPLAY,0,0
50,48027,SUCCESS,84.9609,-77,DISPLAY,0,0
