# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5899,SUCCESS,58.3684,-70,DISPLAY,0,0
2,6554,SUCCESS,60.2614,-71,DISPLAY,0,0
3,7210,SUCCESS,58.4585,-71,DISPLAY,0,0
4,7865,SUCCESS,56.4979,-72,DISPLAY,0,0
5,8521,SUCCESS,59.0895,-72,DISPLAY,0,0
6,9177,SUCCESS,55.7993,-73,DISPLAY,0,0
7,9832,SUCCESS,59.2924,-72,DISPLAY,0,0
8,10488,SUCCESS,53.9062,-73,DISPLAY,0,0
9,11143,SUCCESS,50.8639,-74,DISPLAY,0,0
10,11799,SUCCESS,38.8296,-74,DISPLAY,0,0
11,12459,SUCCESS,46.4017,-73,DISPLAY,0,0
12,13115,SUCCESS,50.2779,-73,DISPLAY,0,0
13,13770,SUCCESS,49.9174,-73,DISPLAY,0,0
14,14426,SUCCESS,48.8807,-71,DISPLAY,0,0
15,15081,SUCCESS,42.5706,-71,DISPLAY,0,0
16,15737,SUCCESS,34.5252,-77,DISPLAY,0,0
17,16392,SUCCESS,31.7308,-76,DISPLAY,0,0
18,17048,SUCCESS,38.4240,-76,DISPLAY,0,0
19,17703,SUCCESS,47.7990,-75,DISPLAY,0,0
20,18359,SUCCESS,47.4384,-72,DISPLAY,0,0
21,19019,SUCCESS,41.1959,-75,DISPLAY,0,0
22,19674,SUCCESS,47.6187,-72,DISPLAY,0,0
23,20330,SUCCESS,50.0751,-69,DISPLAY,0,0
24,20985,SUCCESS,44.4411,-67,DISPLAY,0,0
25,21640,SUCCESS,48.2948,-67,DISPLAY,0,0
26,22295,SUCCESS,46.7623,-67,DISPLAY,0,0
27,22951,SUCCESS,43.8326,-68,DISPLAY,0,0
28,23606,SUCCESS,48.6779,-67,DISPLAY,0,0
29,24261,SUCCESS,47.0553,-68,DISPLAY,0,0
30,24916,SUCCESS,47.0102,-67,DISPLAY,0,0
31,25576,SUCCESS,48.2272,-66,DISPLAY,0,0
32,26232,SUCCESS,48.8131,-66,DISPLAY,0,0
33,26887,SUCCESS,45.2524,-64,DISPLAY,0,0
34,27542,SUCCESS,44.4411,-67,DISPLAY,0,0
35,28197,SUCCESS,49.9399,-67,DISPLAY,0,0
36,28852,SUCCESS,47.7539,-65,DISPLAY,0,0
37,29508,SUCCESS,48.0919,-65,DISPLAY,0,0
38,30163,SUCCESS,46.7172,-66,DISPLAY,0,0
39,30818,SUCCESS,43.7199,-66,DISPLAY,0,0
40,31473,SUCCESS,48.3173,-65,DISPLAY,0,0
41,32132,SUCCESS,46.4017,-64,DISPLAY,0,0
42,32787,SUCCESS,49.3089,-65,DISPLAY,0,0
43,33442,SUCCESS,45.9285,-67,DISPLAY,0,0
44,34098,SUCCESS,50.3005,-71,DISPLAY,0,0
45,34753,SUCCESS,54.2894,-71,DISPLAY,0,0
46,35408,SUCCESS,51.0442,-68,DISPLAY,0,0
47,36063,SUCCESS,47.6412,-66,DISPLAY,0,0
48,36718,SUCCESS,48.5427,-65,DISPLAY,0,0
49,37374,SUCCESS,47.7539,-65,DISPLAY,0,0
50,38029,SUCCESS,47.9567,-66,DISPLAY,0,0
51,38689,SUCCESS,47.7539,-66,DISPLAY,0,0
52,39344,SUCCESS,50.6385,-65,DISPLAY,0,0
53,39999,SUCCESS,51.4949,-64,DISPLAY,0,0
54,40655,SUCCESS,48.9032,-65,DISPLAY,0,0
55,41310,SUCCESS,46.6046,-65,DISPLAY,0,0
56,41965,SUCCESS,45.9285,-65,DISPLAY,0,0
57,42620,SUCCESS,45.8834,-65,DISPLAY,0,0
58,43275,SUCCESS,46.1764,-67,DISPLAY,0,0
59,43930,SUCCESS,46.4243,-66,DISPLAY,0,0
60,44586,SUCCESS,50.2779,-66,DISPLAY,0,0
61,45245,SUCCESS,54.8302,-68,DISPLAY,0,0
62,45901,SUCCESS,47.8440,-65,DISPLAY,0,0
63,46556,SUCCESS,44.9820,-64,DISPLAY,0,0
64,47211,SUCCESS,43.9904,-66,DISPLAY,0,0
65,47866,SUCCESS,43.1565,-66,DISPLAY,0,0
66,48521,SUCCESS,45.4327,-66,DISPLAY,0,0
67,49176,SUCCESS,43.6974,-65,DISPLAY,0,0
68,49831,SUCCESS,44.8468,-64,DISPLAY,0,0
69,50486,SUCCESS,44.1481,-64,DISPLAY,0,0
70,51141,SUCCESS,44.4862,-65,DISPLAY,0,0
71,51800,SUCCESS,44.6665,-65,DISPLAY,0,0
72,52455,SUCCESS,46.5370,-65,DISPLAY,0,0
73,53110,SUCCESS,43.2692,-64,DISPLAY,0,0
74,53765,SUCCESS,41.1283,-69,DISPLAY,0,0
75,54420,SUCCESS,30.6490,-73,DISPLAY,0,0
76,55075,SUCCESS,35.6520,-71,DISPLAY,0,0
77,55730,SUCCESS,34.0520,-75,DISPLAY,0,0
78,56384,SUCCESS,46.0862,-67,DISPLAY,0,0
79,57039,SUCCESS,47.3257,-68,DISPLAY,0,0
80,57694,SUCCESS,46.5820,-67,DISPLAY,0,0
81,58354,SUCCESS,43.9228,-76,DISPLAY,0,0
82,59009,SUCCESS,44.3510,-73,DISPLAY,0,0
83,59664,SUCCESS,50.9315,-71,DISPLAY,0,0
84,60319,SUCCESS,51.6752,-65,DISPLAY,0,0
85,60974,SUCCESS,49.5343,-64,DISPLAY,0,0
86,61628,SUCCESS,46.9201,-69,DISPLAY,0,0
87,62283,SUCCESS,42.5706,-70,DISPLAY,0,0
88,62938,SUCCESS,42.6833,-67,DISPLAY,0,0
89,63593,SUCCESS,42.3227,-68,DISPLAY,0,0
90,64248,SUCCESS,42.3452,-66,DISPLAY,0,0
91,64907,SUCCESS,41.8945,-69,DISPLAY,0,0
92,65562,SUCCESS,39.7536,-74,DISPLAY,0,0
93,66217,SUCCESS,52.4639,-71,DISPLAY,0,0
94,66871,SUCCESS,51.9231,-70,DISPLAY,0,0
95,67527,SUCCESS,45.0270,-69,DISPLAY,0,0
96,68182,SUCCESS,37.0718,-70,DISPLAY,0,0
97,68836,SUCCESS,41.0832,-68,DISPLAY,0,0
98,69491,SUCCESS,43.7876,-68,DISPLAY,0,0
99,70146,SUCCESS,45.8834,-67,DISPLAY,0,0
100,70801,SUCCESS,49.6244,-69,DISPLAY,0,0
101,71460,SUCCESS,51.2921,-68,DISPLAY,0,0
102,72115,SUCCESS,49.3089,-67,DISPLAY,0,0
103,72770,SUCCESS,47.1905,-67,DISPLAY,0,0
104,73425,SUCCESS,45.9510,-67,DISPLAY,0,0
105,74080,SUCCESS,44.2608,-69,DISPLAY,0,0
106,74734,SUCCESS,41.5340,-72,DISPLAY,0,0
107,75389,SUCCESS,33.8717,-73,DISPLAY,0,0
108,76044,SUCCESS,39.8437,-77,DISPLAY,0,0
109,76699,SUCCESS,49.5117,-70,DISPLAY,0,0
110,77354,SUCCESS,52.1935,-68,DISPLAY,0,0
111,78013,SUCCESS,43.6974,-67,DISPLAY,0,0
112,78668,SUCCESS,45.4327,-66,DISPLAY,0,0
113,79323,SUCCESS,43.5171,-66,DISPLAY,0,0
114,79978,SUCCESS,47.6638,-66,DISPLAY,0,0
115,80633,SUCCESS,47.8891,-66,DISPLAY,0,0
116,81288,SUCCESS,46.7623,-66,DISPLAY,0,0
117,81942,SUCCESS,46.7172,-66,DISPLAY,0,0
118,82597,SUCCESS,47.9567,-66,DISPLAY,0,0
119,83252,SUCCESS,47.6412,-66,DISPLAY,0,0
120,83907,SUCCESS,45.4102,-67,DISPLAY,0,0
