# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x5CD85EDB5110, ROLE=RESPONDER, BOOT_MS=0, FREQ=2400.0, BW=406.25, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,event,rssi_dbm,state,radio_status_code
124,167793,RANGING_REQ,-150,LISTENING,0
125,168479,RANGING_REQ,-150,LISTENING,0
126,169165,RANGING_REQ,-150,LISTENING,0
127,169851,RANGING_REQ,-150,LISTENING,0
128,170537,RANGING_REQ,-150,LISTENING,0
129,171223,RANGING_REQ,-150,LISTENING,0
130,171908,RANGING_REQ,-150,LISTENING,0
131,172594,RANGING_REQ,-150,LISTENING,0
132,173280,RANGING_REQ,-150,LISTENING,0
133,173966,RANGING_REQ,-150,LISTENING,0
134,174656,RANGING_REQ,-150,LISTENING,0
135,175342,RANGING_REQ,-150,LISTENING,0
136,176028,RANGING_REQ,-150,LISTENING,0
137,176714,RANGING_REQ,-150,LISTENING,0
138,177399,RANGING_REQ,-150,LISTENING,0
139,178085,RANGING_REQ,-150,LISTENING,0
140,178771,RANGING_REQ,-150,LISTENING,0
141,179457,RANGING_REQ,-150,LISTENING,0
142,180143,RANGING_REQ,-150,LISTENING,0
143,180829,RANGING_REQ,-150,LISTENING,0
144,181520,RANGING_REQ,-150,LISTENING,0
145,182205,RANGING_REQ,-150,LISTENING,0
146,182891,RANGING_REQ,-150,LISTENING,0
147,183577,RANGING_REQ,-150,LISTENING,0
148,184263,RANGING_REQ,-150,LISTENING,0
149,184949,RANGING_REQ,-150,LISTENING,0
150,185635,RANGING_REQ,-150,LISTENING,0
151,186320,RANGING_REQ,-150,LISTENING,0
152,187006,RANGING_REQ,-150,LISTENING,0
153,187692,RANGING_REQ,-150,LISTENING,0
154,188382,RANGING_REQ,-150,LISTENING,0
155,189068,RANGING_REQ,-150,LISTENING,0
156,189754,RANGING_REQ,-150,LISTENING,0
157,190440,RANGING_REQ,-150,LISTENING,0
158,191126,RANGING_REQ,-150,LISTENING,0
159,191812,RANGING_REQ,-150,LISTENING,0
160,192498,RANGING_REQ,-150,LISTENING,0
161,193184,RANGING_REQ,-150,LISTENING,0
162,193870,RANGING_REQ,-150,LISTENING,0
