# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5900,SUCCESS,176.5475,-83,DISPLAY,0,0
2,6555,SUCCESS,177.7419,-83,DISPLAY,0,0
3,7210,SUCCESS,175.3305,-83,DISPLAY,0,0
4,7865,SUCCESS,177.6517,-83,DISPLAY,0,0
5,8521,SUCCESS,176.9080,-83,DISPLAY,0,0
6,9176,SUCCESS,176.2320,-84,DISPLAY,0,0
7,9831,SUCCESS,175.3080,-84,DISPLAY,0,0
8,10486,SUCCESS,174.3615,-85,DISPLAY,0,0
9,11142,SUCCESS,178.5983,-84,DISPLAY,0,0
10,11797,SUCCESS,178.6884,-85,DISPLAY,0,0
11,12457,SUCCESS,178.4856,-86,DISPLAY,0,0
12,13112,SUCCESS,176.7052,-84,DISPLAY,0,0
13,13767,SUCCESS,175.7362,-85,DISPLAY,0,0
14,14423,SUCCESS,177.3137,-84,DISPLAY,0,0
15,15078,SUCCESS,176.9306,-84,DISPLAY,0,0
16,15733,SUCCESS,177.2686,-85,DISPLAY,0,0
17,16389,SUCCESS,175.9841,-85,DISPLAY,0,0
18,17044,SUCCESS,176.0291,-85,DISPLAY,0,0
19,17699,SUCCESS,175.8263,-85,DISPLAY,0,0
20,18355,SUCCESS,177.5841,-85,DISPLAY,0,0
21,19015,SUCCESS,176.1193,-85,DISPLAY,0,0
22,19670,SUCCESS,175.7587,-85,DISPLAY,0,0
23,20325,SUCCESS,175.3531,-85,DISPLAY,0,0
24,20981,SUCCESS,178.3729,-84,DISPLAY,0,0
25,21636,SUCCESS,177.4940,-83,DISPLAY,0,0
26,22292,SUCCESS,176.3221,-84,DISPLAY,0,0
27,22947,SUCCESS,175.4883,-85,DISPLAY,0,0
28,23603,SUCCESS,176.7503,-84,DISPLAY,0,0
29,24258,SUCCESS,175.3531,-85,DISPLAY,0,0
30,24914,SUCCESS,177.0883,-84,DISPLAY,0,0
31,25574,SUCCESS,176.2320,-84,DISPLAY,0,0
32,26229,SUCCESS,175.7362,-85,DISPLAY,0,0
33,26884,SUCCESS,176.6376,-84,DISPLAY,0,0
34,27540,SUCCESS,176.7728,-84,DISPLAY,0,0
35,28195,SUCCESS,177.4489,-84,DISPLAY,0,0
36,28851,SUCCESS,176.1193,-84,DISPLAY,0,0
37,29506,SUCCESS,176.1193,-84,DISPLAY,0,0
38,30161,SUCCESS,175.6010,-85,DISPLAY,0,0
39,30817,SUCCESS,177.4940,-84,DISPLAY,0,0
40,31472,SUCCESS,177.0658,-84,DISPLAY,0,0
41,32132,SUCCESS,177.5390,-84,DISPLAY,0,0
42,32788,SUCCESS,176.2545,-84,DISPLAY,0,0
43,33443,SUCCESS,177.2912,-84,DISPLAY,0,0
44,34099,SUCCESS,176.9306,-84,DISPLAY,0,0
45,34755,SUCCESS,177.7419,-84,DISPLAY,0,0
46,35410,SUCCESS,176.9531,-84,DISPLAY,0,0
47,36066,SUCCESS,177.3362,-84,DISPLAY,0,0
48,36721,SUCCESS,176.6827,-84,DISPLAY,0,0
49,37377,SUCCESS,177.5390,-84,DISPLAY,0,0
50,38032,SUCCESS,177.5841,-83,DISPLAY,0,0
51,38692,SUCCESS,176.2320,-84,DISPLAY,0,0
52,39347,SUCCESS,177.6067,-84,DISPLAY,0,0
53,40003,SUCCESS,174.3389,-84,DISPLAY,0,0
54,40658,SUCCESS,175.4207,-85,DISPLAY,0,0
55,41314,SUCCESS,175.3531,-84,DISPLAY,0,0
56,41969,SUCCESS,176.7954,-84,DISPLAY,0,0
57,42625,SUCCESS,178.2377,-84,DISPLAY,0,0
58,43281,SUCCESS,177.6067,-83,DISPLAY,0,0
59,43936,SUCCESS,175.3305,-87,DISPLAY,0,0
60,44592,SUCCESS,177.7193,-85,DISPLAY,0,0
61,45252,SUCCESS,177.8095,-85,DISPLAY,0,0
62,45907,SUCCESS,177.8996,-85,DISPLAY,0,0
63,46563,SUCCESS,176.0967,-86,DISPLAY,0,0
64,47219,SUCCESS,175.2629,-85,DISPLAY,0,0
65,47874,SUCCESS,175.9615,-85,DISPLAY,0,0
66,48530,SUCCESS,176.8855,-84,DISPLAY,0,0
67,49185,SUCCESS,177.2461,-84,DISPLAY,0,0
68,49841,SUCCESS,176.0742,-85,DISPLAY,0,0
69,50496,SUCCESS,178.5983,-86,DISPLAY,0,0
70,51152,SUCCESS,177.5390,-82,DISPLAY,0,0
