# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5900,SUCCESS,144.1406,-88,DISPLAY,0,0
2,6555,SUCCESS,142.2251,-89,DISPLAY,0,0
3,7210,SUCCESS,146.3041,-84,DISPLAY,0,0
4,7864,SUCCESS,144.8618,-83,DISPLAY,0,0
5,8519,SUCCESS,145.0421,-84,DISPLAY,0,0
6,9174,SUCCESS,144.7040,-84,DISPLAY,0,0
7,9829,SUCCESS,144.6590,-84,DISPLAY,0,0
8,10485,SUCCESS,144.0279,-85,DISPLAY,0,0
9,11140,SUCCESS,143.9603,-86,DISPLAY,0,0
10,11795,SUCCESS,144.2082,-85,DISPLAY,0,0
11,12456,SUCCESS,145.4477,-84,DISPLAY,0,0
12,13111,SUCCESS,146.9576,-83,DISPLAY,0,0
13,13767,SUCCESS,145.8308,-84,DISPLAY,0,0
14,14422,SUCCESS,145.0871,-83,DISPLAY,0,0
15,15077,SUCCESS,144.7716,-83,DISPLAY,0,0
16,15733,SUCCESS,144.9294,-83,DISPLAY,0,0
17,16388,SUCCESS,145.3801,-83,DISPLAY,0,0
18,17043,SUCCESS,145.1998,-83,DISPLAY,0,0
19,17699,SUCCESS,146.7773,-83,DISPLAY,0,0
20,18354,SUCCESS,144.7491,-83,DISPLAY,0,0
21,19015,SUCCESS,145.1773,-84,DISPLAY,0,0
22,19670,SUCCESS,145.4252,-83,DISPLAY,0,0
23,20325,SUCCESS,144.6815,-83,DISPLAY,0,0
24,20981,SUCCESS,145.8533,-84,DISPLAY,0,0
25,21636,SUCCESS,145.0646,-84,DISPLAY,0,0
26,22292,SUCCESS,144.7040,-83,DISPLAY,0,0
27,22947,SUCCESS,144.7942,-85,DISPLAY,0,0
28,23602,SUCCESS,142.3152,-87,DISPLAY,0,0
29,24258,SUCCESS,145.7181,-84,DISPLAY,0,0
30,24913,SUCCESS,144.8618,-84,DISPLAY,0,0
31,25573,SUCCESS,145.8083,-84,DISPLAY,0,0
32,26228,SUCCESS,145.0871,-84,DISPLAY,0,0
33,26884,SUCCESS,145.1998,-83,DISPLAY,0,0
34,27539,SUCCESS,144.9519,-82,DISPLAY,0,0
35,28194,SUCCESS,143.6448,-83,DISPLAY,0,0
36,28850,SUCCESS,145.2224,-83,DISPLAY,0,0
37,29505,SUCCESS,144.9519,-84,DISPLAY,0,0
38,30160,SUCCESS,142.9913,-85,DISPLAY,0,0
39,30816,SUCCESS,143.8251,-85,DISPLAY,0,0
40,31471,SUCCESS,142.9011,-86,DISPLAY,0,0
41,32131,SUCCESS,145.5604,-83,DISPLAY,0,0
42,32787,SUCCESS,144.8392,-82,DISPLAY,0,0
43,33442,SUCCESS,143.8702,-84,DISPLAY,0,0
44,34097,SUCCESS,145.7181,-83,DISPLAY,0,0
45,34753,SUCCESS,144.0054,-84,DISPLAY,0,0
46,35408,SUCCESS,146.5745,-83,DISPLAY,0,0
47,36064,SUCCESS,146.5520,-84,DISPLAY,0,0
48,36719,SUCCESS,144.8392,-84,DISPLAY,0,0
49,37374,SUCCESS,144.1406,-87,DISPLAY,0,0
50,38030,SUCCESS,144.2533,-83,DISPLAY,0,0
51,38690,SUCCESS,143.5096,-84,DISPLAY,0,0
52,39345,SUCCESS,145.3125,-84,DISPLAY,0,0
53,40001,SUCCESS,144.9519,-83,DISPLAY,0,0
54,40657,SUCCESS,143.6223,-85,DISPLAY,0,0
55,41312,SUCCESS,143.1716,-85,DISPLAY,0,0
56,41968,SUCCESS,145.6731,-86,DISPLAY,0,0
57,42623,SUCCESS,145.8984,-85,DISPLAY,0,0
58,43279,SUCCESS,147.0027,-83,DISPLAY,0,0
59,43934,SUCCESS,146.5745,-82,DISPLAY,0,0
60,44590,SUCCESS,147.0703,-83,DISPLAY,0,0
61,45250,SUCCESS,148.1971,-84,DISPLAY,0,0
62,45905,SUCCESS,146.8900,-84,DISPLAY,0,0
63,46561,SUCCESS,146.9351,-84,DISPLAY,0,0
64,47216,SUCCESS,144.2082,-85,DISPLAY,0,0
65,47872,SUCCESS,142.9237,-84,DISPLAY,0,0
66,48528,SUCCESS,145.8083,-84,DISPLAY,0,0
67,49183,SUCCESS,145.8533,-85,DISPLAY,0,0
68,49839,SUCCESS,146.2365,-84,DISPLAY,0,0
69,50494,SUCCESS,145.5604,-85,DISPLAY,0,0
70,51150,SUCCESS,146.7548,-84,DISPLAY,0,0
71,51810,SUCCESS,145.8083,-84,DISPLAY,0,0
72,52465,SUCCESS,146.0787,-84,DISPLAY,0,0
73,53121,SUCCESS,146.3041,-85,DISPLAY,0,0
74,53776,SUCCESS,146.6196,-85,DISPLAY,0,0
75,54432,SUCCESS,147.0928,-83,DISPLAY,0,0
76,55087,SUCCESS,145.3576,-82,DISPLAY,0,0
77,55743,SUCCESS,146.5745,-84,DISPLAY,0,0
78,56398,SUCCESS,145.7407,-84,DISPLAY,0,0
79,57054,SUCCESS,145.3125,-83,DISPLAY,0,0
80,57709,SUCCESS,147.2957,-85,DISPLAY,0,0
81,58370,SUCCESS,145.5604,-85,DISPLAY,0,0
82,59025,SUCCESS,146.1914,-85,DISPLAY,0,0
83,59681,SUCCESS,146.1013,-85,DISPLAY,0,0
84,60336,SUCCESS,148.4225,-83,DISPLAY,0,0
85,60992,SUCCESS,145.7407,-83,DISPLAY,0,0
86,61647,SUCCESS,144.4561,-84,DISPLAY,0,0
87,62303,SUCCESS,145.2224,-85,DISPLAY,0,0
88,62958,SUCCESS,142.6307,-85,DISPLAY,0,0
89,63614,SUCCESS,144.6815,-84,DISPLAY,0,0
90,64270,SUCCESS,144.2082,-84,DISPLAY,0,0
91,64930,SUCCESS,143.8702,-84,DISPLAY,0,0
92,65586,SUCCESS,144.7265,-84,DISPLAY,0,0
93,66241,SUCCESS,144.5237,-84,DISPLAY,0,0
94,66897,SUCCESS,143.2842,-85,DISPLAY,0,0
95,67552,SUCCESS,144.1631,-85,DISPLAY,0,0
96,68208,SUCCESS,144.3885,-84,DISPLAY,0,0
97,68863,SUCCESS,144.0279,-84,DISPLAY,0,0
98,69519,SUCCESS,143.7124,-84,DISPLAY,0,0
99,70174,SUCCESS,144.2082,-84,DISPLAY,0,0
100,70830,SUCCESS,143.3068,-84,DISPLAY,0,0
