# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5901,SUCCESS,119.2157,-82,DISPLAY,0,0
2,6556,SUCCESS,118.4946,-81,DISPLAY,0,0
3,7212,SUCCESS,120.5454,-83,DISPLAY,0,0
4,7867,SUCCESS,118.8552,-84,DISPLAY,0,0
5,8523,SUCCESS,116.8720,-79,DISPLAY,0,0
6,9178,SUCCESS,115.8128,-79,DISPLAY,0,0
7,9833,SUCCESS,117.7284,-80,DISPLAY,0,0
8,10488,SUCCESS,118.1565,-80,DISPLAY,0,0
9,11143,SUCCESS,117.2326,-81,DISPLAY,0,0
10,11798,SUCCESS,117.1199,-81,DISPLAY,0,0
11,12457,SUCCESS,117.0072,-80,DISPLAY,0,0
12,13112,SUCCESS,115.8804,-80,DISPLAY,0,0
13,13767,SUCCESS,117.1875,-81,DISPLAY,0,0
14,14422,SUCCESS,116.5114,-81,DISPLAY,0,0
15,15077,SUCCESS,117.2100,-81,DISPLAY,0,0
16,15732,SUCCESS,117.3678,-81,DISPLAY,0,0
17,16387,SUCCESS,116.3086,-81,DISPLAY,0,0
18,17042,SUCCESS,115.7677,-81,DISPLAY,0,0
19,17697,SUCCESS,118.7199,-80,DISPLAY,0,0
20,18352,SUCCESS,119.4862,-79,DISPLAY,0,0
21,19011,SUCCESS,116.7818,-81,DISPLAY,0,0
22,19666,SUCCESS,116.5565,-81,DISPLAY,0,0
23,20321,SUCCESS,116.5565,-81,DISPLAY,0,0
24,20976,SUCCESS,117.4354,-79,DISPLAY,0,0
25,21631,SUCCESS,118.6749,-79,DISPLAY,0,0
26,22286,SUCCESS,118.4044,-81,DISPLAY,0,0
27,22941,SUCCESS,117.2551,-81,DISPLAY,0,0
28,23597,SUCCESS,118.1340,-80,DISPLAY,0,0
29,24251,SUCCESS,117.3002,-81,DISPLAY,0,0
30,24907,SUCCESS,118.5171,-81,DISPLAY,0,0
31,25567,SUCCESS,118.9678,-80,DISPLAY,0,0
32,26222,SUCCESS,117.1650,-81,DISPLAY,0,0
33,26877,SUCCESS,117.3227,-81,DISPLAY,0,0
34,27533,SUCCESS,117.0297,-81,DISPLAY,0,0
35,28188,SUCCESS,117.9086,-85,DISPLAY,0,0
36,28843,SUCCESS,118.2692,-81,DISPLAY,0,0
37,29498,SUCCESS,116.7593,-81,DISPLAY,0,0
38,30154,SUCCESS,116.8720,-81,DISPLAY,0,0
39,30809,SUCCESS,118.4044,-82,DISPLAY,0,0
40,31464,SUCCESS,117.4805,-82,DISPLAY,0,0
41,32124,SUCCESS,117.3002,-82,DISPLAY,0,0
42,32780,SUCCESS,117.5931,-81,DISPLAY,0,0
43,33435,SUCCESS,117.1875,-81,DISPLAY,0,0
44,34090,SUCCESS,117.5030,-80,DISPLAY,0,0
45,34746,SUCCESS,117.4579,-81,DISPLAY,0,0
46,35401,SUCCESS,118.4044,-85,DISPLAY,0,0
47,36057,SUCCESS,117.7509,-81,DISPLAY,0,0
48,36712,SUCCESS,116.1959,-83,DISPLAY,0,0
49,37367,SUCCESS,118.3143,-82,DISPLAY,0,0
50,38023,SUCCESS,117.6382,-81,DISPLAY,0,0
51,38683,SUCCESS,117.8185,-81,DISPLAY,0,0
52,39338,SUCCESS,117.3903,-81,DISPLAY,0,0
53,39994,SUCCESS,118.0889,-81,DISPLAY,0,0
54,40649,SUCCESS,117.5030,-82,DISPLAY,0,0
55,41304,SUCCESS,117.3678,-81,DISPLAY,0,0
56,41960,SUCCESS,118.6298,-81,DISPLAY,0,0
57,42615,SUCCESS,118.4270,-81,DISPLAY,0,0
58,43271,SUCCESS,117.0748,-81,DISPLAY,0,0
59,43926,SUCCESS,118.4270,-81,DISPLAY,0,0
60,44581,SUCCESS,116.0607,-81,DISPLAY,0,0
61,45242,SUCCESS,117.2776,-81,DISPLAY,0,0
62,45897,SUCCESS,115.7001,-83,DISPLAY,0,0
63,46553,SUCCESS,117.6157,-79,DISPLAY,0,0
64,47208,SUCCESS,117.3452,-81,DISPLAY,0,0
65,47863,SUCCESS,116.9396,-81,DISPLAY,0,0
66,48519,SUCCESS,117.1650,-81,DISPLAY,0,0
67,49174,SUCCESS,116.5339,-79,DISPLAY,0,0
68,49829,SUCCESS,116.4438,-80,DISPLAY,0,0
69,50485,SUCCESS,114.1001,-79,DISPLAY,0,0
70,51140,SUCCESS,118.2242,-79,DISPLAY,0,0
