# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5905,SUCCESS,297.7238,-91,DISPLAY,0,0
2,6561,SUCCESS,296.7999,-91,DISPLAY,0,0
3,7216,SUCCESS,299.4366,-92,DISPLAY,0,0
4,7872,SUCCESS,299.5493,-90,DISPLAY,0,0
5,8527,SUCCESS,298.3323,-90,DISPLAY,0,0
6,9183,SUCCESS,295.4477,-91,DISPLAY,0,0
7,9839,SUCCESS,295.8308,-91,DISPLAY,0,0
8,10494,SUCCESS,296.9351,-91,DISPLAY,0,0
9,11150,SUCCESS,295.5829,-90,DISPLAY,0,0
10,11805,SUCCESS,297.3182,-89,DISPLAY,0,0
11,12466,SUCCESS,296.6196,-90,DISPLAY,0,0
12,13122,SUCCESS,296.1463,-89,DISPLAY,0,0
13,13777,SUCCESS,296.6421,-90,DISPLAY,0,0
14,14433,SUCCESS,298.5802,-90,DISPLAY,0,0
15,15088,SUCCESS,299.0084,-90,DISPLAY,0,0
16,15744,SUCCESS,298.4450,-91,DISPLAY,0,0
17,16399,SUCCESS,298.7379,-91,DISPLAY,0,0
18,17055,SUCCESS,297.2506,-90,DISPLAY,0,0
19,17710,SUCCESS,299.0309,-90,DISPLAY,0,0
20,18365,SUCCESS,299.3239,-90,DISPLAY,0,0
21,19026,SUCCESS,298.3774,-90,DISPLAY,0,0
22,19681,SUCCESS,298.5802,-90,DISPLAY,0,0
23,20337,SUCCESS,299.1887,-90,DISPLAY,0,0
24,20992,SUCCESS,299.0985,-91,DISPLAY,0,0
25,21647,SUCCESS,297.3633,-91,DISPLAY,0,0
26,22302,SUCCESS,298.5802,-91,DISPLAY,0,0
27,22957,SUCCESS,298.3323,-91,DISPLAY,0,0
28,23612,SUCCESS,298.6028,-91,DISPLAY,0,0
29,24267,SUCCESS,297.4309,-90,DISPLAY,0,0
30,24922,SUCCESS,298.3549,-91,DISPLAY,0,0
31,25582,SUCCESS,298.5351,-91,DISPLAY,0,0
32,26237,SUCCESS,297.2957,-90,DISPLAY,0,0
33,26892,SUCCESS,295.3350,-91,DISPLAY,0,0
34,27547,SUCCESS,297.5210,-91,DISPLAY,0,0
35,28202,SUCCESS,299.3690,-91,DISPLAY,0,0
36,28857,SUCCESS,298.6703,-91,DISPLAY,0,0
37,29512,SUCCESS,297.9943,-90,DISPLAY,0,0
38,30167,SUCCESS,298.3323,-91,DISPLAY,0,0
39,30822,SUCCESS,296.3492,-90,DISPLAY,0,0
40,31477,SUCCESS,297.2506,-90,DISPLAY,0,0
