# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x541BBDD4DB1C, ROLE=INITIATOR, BOOT_MS=0, FREQ=2400.0, BW=1625.00, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,status,raw_distance_m,rssi_dbm,state,consecutive_failures,radio_status_code
1,5901,SUCCESS,146.0787,-85,DISPLAY,0,0
2,6556,SUCCESS,147.2506,-83,DISPLAY,0,0
3,7212,SUCCESS,148.9408,-83,DISPLAY,0,0
4,7867,SUCCESS,145.8759,-83,DISPLAY,0,0
5,8522,SUCCESS,144.8392,-83,DISPLAY,0,0
6,9178,SUCCESS,147.7013,-83,DISPLAY,0,0
7,9833,SUCCESS,143.9378,-82,DISPLAY,0,0
8,10488,SUCCESS,145.2224,-82,DISPLAY,0,0
9,11143,SUCCESS,143.8927,-85,DISPLAY,0,0
10,11798,SUCCESS,142.7659,-82,DISPLAY,0,0
11,12457,SUCCESS,143.8702,-84,DISPLAY,0,0
12,13112,SUCCESS,144.8843,-84,DISPLAY,0,0
13,13767,SUCCESS,144.6139,-82,DISPLAY,0,0
14,14422,SUCCESS,143.5772,-83,DISPLAY,0,0
15,15077,SUCCESS,140.9856,-84,DISPLAY,0,0
16,15732,SUCCESS,141.0983,-86,DISPLAY,0,0
17,16387,SUCCESS,137.2446,-85,DISPLAY,0,0
18,17042,SUCCESS,141.9546,-83,DISPLAY,0,0
19,17697,SUCCESS,143.1490,-83,DISPLAY,0,0
20,18352,SUCCESS,141.6166,-83,DISPLAY,0,0
