Lap Number,Start Time,End Time,Lap Time,Total Time
1,00:00.00,01:10.78,01:10.78,01:10.78
2,01:10.78,01:39.75,00:28.96,01:39.75
3,01:39.75,02:50.30,01:10.55,02:50.30
4,02:50.30,02:50.43,00:00.13,02:50.43
5,02:50.43,03:21.34,00:30.90,03:21.34
6,03:21.34,04:32.38,01:11.04,04:32.38
7,04:32.38,05:02.59,00:30.21,05:02.59
8,05:02.59,06:14.22,01:11.62,06:14.22
9,06:14.22,06:47.60,00:33.38,06:47.60
10,06:47.60,07:59.00,01:11.40,07:59.00
11,07:59.00,08:38.57,00:39.57,08:38.57
12,08:38.57,09:49.32,01:10.74,09:49.32
13,09:49.32,10:18.18,00:28.85,10:18.18
14,10:18.18,11:28.87,01:10.69,11:28.87
15,11:28.87,12:00.77,00:31.89,12:00.77
16,12:00.77,13:11.33,01:10.56,13:11.33
17,13:11.33,13:39.79,00:28.45,13:39.79
18,13:39.79,14:51.46,01:11.67,14:51.46
19,14:51.46,15:23.43,00:31.97,15:23.43
20,15:23.43,16:35.02,01:11.58,16:35.02
21,16:35.02,17:07.24,00:32.22,17:07.24
